string_protein	cluster_id	ncbi_taxid
411460.RUMTOR_00795	CL:831	411460
411460.RUMTOR_00795	CL:832	411460
411460.RUMTOR_00795	CL:837	411460
411460.RUMTOR_00795	CL:836	411460
411460.RUMTOR_00795	CL:835	411460
411460.RUMTOR_00795	CL:839	411460
411460.RUMTOR_00795	CL:838	411460
411460.RUMTOR_00795	CL:842	411460
411460.RUMTOR_00795	CL:840	411460
411460.RUMTOR_00795	CL:841	411460
411460.RUMTOR_00795	CL:844	411460
411460.RUMTOR_00795	CL:846	411460
411460.RUMTOR_00795	CL:845	411460
411460.RUMTOR_00795	CL:853	411460
411460.RUMTOR_00795	CL:848	411460
411460.RUMTOR_00795	CL:855	411460
411460.RUMTOR_00254	CL:19	411460
411460.RUMTOR_00254	CL:0	411460
411460.RUMTOR_00254	CL:13	411460
411460.RUMTOR_00254	CL:15	411460
411460.RUMTOR_00254	CL:22	411460
411460.RUMTOR_00254	CL:2700	411460
411460.RUMTOR_00254	CL:25	411460
411460.RUMTOR_00254	CL:2706	411460
411460.RUMTOR_00254	CL:2701	411460
411460.RUMTOR_00254	CL:2702	411460
411460.RUMTOR_00254	CL:2712	411460
411460.RUMTOR_00254	CL:2707	411460
411460.RUMTOR_00254	CL:2704	411460
411460.RUMTOR_00254	CL:2708	411460
411460.RUMTOR_00254	CL:2713	411460
411460.RUMTOR_00254	CL:2709	411460
411460.RUMTOR_00254	CL:2715	411460
411460.RUMTOR_00254	CL:28	411460
411460.RUMTOR_00254	CL:35	411460
411460.RUMTOR_00254	CL:33	411460
411460.RUMTOR_00254	CL:31	411460
411460.RUMTOR_00254	CL:37	411460
411460.RUMTOR_00254	CL:39	411460
411460.RUMTOR_00254	CL:38	411460
411460.RUMTOR_00254	CL:47	411460
411460.RUMTOR_00254	CL:40	411460
411460.RUMTOR_00254	CL:41	411460
411460.RUMTOR_00254	CL:42	411460
411460.RUMTOR_00254	CL:43	411460
411460.RUMTOR_00254	CL:44	411460
411460.RUMTOR_00254	CL:45	411460
411460.RUMTOR_00254	CL:50	411460
411460.RUMTOR_00254	CL:48	411460
411460.RUMTOR_00254	CL:49	411460
411460.RUMTOR_00254	CL:51	411460
411460.RUMTOR_00254	CL:53	411460
411460.RUMTOR_00254	CL:54	411460
411460.RUMTOR_00254	CL:55	411460
411460.RUMTOR_00254	CL:56	411460
411460.RUMTOR_00254	CL:52	411460
411460.RUMTOR_00354	CL:25	411460
411460.RUMTOR_00354	CL:13	411460
411460.RUMTOR_00354	CL:15	411460
411460.RUMTOR_00354	CL:19	411460
411460.RUMTOR_00354	CL:0	411460
411460.RUMTOR_00354	CL:22	411460
411460.RUMTOR_00354	CL:2701	411460
411460.RUMTOR_00354	CL:2700	411460
411460.RUMTOR_00354	CL:2706	411460
411460.RUMTOR_00354	CL:2704	411460
411460.RUMTOR_00354	CL:2708	411460
411460.RUMTOR_00354	CL:2709	411460
411460.RUMTOR_00354	CL:2712	411460
411460.RUMTOR_00354	CL:2713	411460
411460.RUMTOR_00354	CL:2715	411460
411460.RUMTOR_00354	CL:28	411460
411460.RUMTOR_00354	CL:31	411460
411460.RUMTOR_00354	CL:2702	411460
411460.RUMTOR_00354	CL:2707	411460
411460.RUMTOR_00354	CL:2718	411460
411460.RUMTOR_00354	CL:33	411460
411460.RUMTOR_00354	CL:39	411460
411460.RUMTOR_00354	CL:42	411460
411460.RUMTOR_00354	CL:44	411460
411460.RUMTOR_00354	CL:48	411460
411460.RUMTOR_00354	CL:49	411460
411460.RUMTOR_00354	CL:50	411460
411460.RUMTOR_00354	CL:51	411460
411460.RUMTOR_00354	CL:35	411460
411460.RUMTOR_00354	CL:37	411460
411460.RUMTOR_00354	CL:38	411460
411460.RUMTOR_00354	CL:40	411460
411460.RUMTOR_00354	CL:41	411460
411460.RUMTOR_00354	CL:43	411460
411460.RUMTOR_00354	CL:45	411460
411460.RUMTOR_00354	CL:47	411460
411460.RUMTOR_00354	CL:52	411460
411460.RUMTOR_00354	CL:53	411460
411460.RUMTOR_00354	CL:54	411460
411460.RUMTOR_00354	CL:55	411460
411460.RUMTOR_00354	CL:56	411460
411460.RUMTOR_00441	CL:40	411460
411460.RUMTOR_00441	CL:0	411460
411460.RUMTOR_00441	CL:19	411460
411460.RUMTOR_00441	CL:22	411460
411460.RUMTOR_00441	CL:28	411460
411460.RUMTOR_00441	CL:31	411460
411460.RUMTOR_00441	CL:3141	411460
411460.RUMTOR_00441	CL:3393	411460
411460.RUMTOR_00441	CL:3394	411460
411460.RUMTOR_00441	CL:35	411460
411460.RUMTOR_00441	CL:37	411460
411460.RUMTOR_00441	CL:39	411460
411460.RUMTOR_00441	CL:13	411460
411460.RUMTOR_00441	CL:15	411460
411460.RUMTOR_00441	CL:25	411460
